company|version|date|rating|count
airbnb|"1.0"|2010-11-11|5|4
airbnb|"1.0"|2010-11-12|3|1
airbnb|"1.0"|2010-11-12|5|9
airbnb|"1.0"|2010-11-13|4|1
airbnb|"1.0"|2010-11-13|5|1
airbnb|"1.0"|2010-11-14|5|3
airbnb|"1.0"|2010-11-15|5|7
airbnb|"1.0"|2010-11-16|5|1
airbnb|"1.0"|2010-11-17|5|1
airbnb|"1.0.1"|2010-11-20|1|1
airbnb|"1.0.1"|2010-11-20|5|1
airbnb|"1.0.1"|2010-11-21|4|1
airbnb|"1.0.1"|2010-11-21|5|7
airbnb|"1.0"|2010-11-22|5|2
airbnb|"1.0.1"|2010-11-22|3|1
airbnb|"1.0.1"|2010-11-22|4|1
airbnb|"1.0.1"|2010-11-22|5|2
airbnb|"1.0.1"|2010-11-23|5|2
airbnb|"1.0.1"|2010-11-25|4|2
airbnb|"1.0.1"|2010-11-26|4|1
airbnb|"1.0.1"|2010-11-26|5|1
airbnb|"1.0.1"|2010-11-28|5|1
airbnb|"1.0.1"|2010-11-29|2|1
airbnb|"1.0.1"|2010-11-29|4|1
airbnb|"1.0.1"|2010-11-30|3|1
airbnb|"1.0.1"|2010-11-30|5|1
airbnb|"1.0.1"|2010-12-02|5|2
airbnb|"1.0.1"|2010-12-08|5|1
airbnb|"1.0.2"|2010-12-11|5|1
airbnb|"1.1.0"|2010-12-17|3|1
airbnb|"1.0.2"|2010-12-21|1|1
airbnb|"1.0.2"|2010-12-27|1|1
airbnb|"1.1.0"|2011-01-03|4|1
airbnb|"1.1.0"|2011-01-04|5|1
airbnb|"1.1.0"|2011-01-06|4|1
airbnb|"1.1.0"|2011-01-06|5|2
airbnb|"1.1.0"|2011-01-08|4|1
airbnb|"1.1.0"|2011-01-09|5|1
airbnb|"1.1.0"|2011-01-11|5|1
airbnb|"1.1.0"|2011-01-12|5|1
airbnb|"1.1.0"|2011-01-14|5|1
airbnb|"1.1.0"|2011-01-15|5|1
airbnb|"1.1.0"|2011-01-16|1|1
airbnb|"1.1.0"|2011-01-17|1|1
airbnb|"1.1.0"|2011-01-18|4|2
airbnb|"1.1.0"|2011-01-20|5|1
airbnb|"1.1.0"|2011-01-21|1|1
airbnb|"1.1.0"|2011-01-21|5|1
airbnb|"1.1.0"|2011-01-22|5|1
airbnb|"1.1.0"|2011-01-23|4|1
airbnb|"1.1.0"|2011-01-24|5|1
airbnb|"1.1.0"|2011-01-25|5|1
airbnb|"1.1.0"|2011-01-27|5|1
airbnb|"1.1.0"|2011-01-28|1|1
airbnb|"1.1.0"|2011-01-28|2|1
airbnb|"1.1.0"|2011-01-30|4|1
airbnb|"1.1.0"|2011-01-30|5|1
airbnb|"1.1.0"|2011-01-31|1|1
airbnb|"1.1.0"|2011-02-01|5|1
airbnb|"1.1.0"|2011-02-02|4|1
airbnb|"1.1.0"|2011-02-04|5|1
airbnb|"1.1.0"|2011-02-06|5|3
airbnb|"1.1.0"|2011-02-07|5|1
airbnb|"1.1.0"|2011-02-08|4|1
airbnb|"1.1.0"|2011-02-11|5|1
airbnb|"1.1.0"|2011-02-12|5|1
airbnb|"1.1.0"|2011-02-13|5|1
airbnb|"1.1.0"|2011-02-17|5|1
airbnb|"1.1.0"|2011-02-19|4|1
airbnb|"1.1.0"|2011-02-19|5|2
airbnb|"1.1.0"|2011-02-23|5|1
airbnb|"1.1.0"|2011-02-24|5|1
airbnb|"1.1.0"|2011-02-26|3|1
airbnb|"1.1.0"|2011-02-26|5|2
airbnb|"1.1.0"|2011-03-04|3|1
airbnb|"1.1.0"|2011-03-07|3|1
airbnb|"1.1.0"|2011-03-09|5|1
airbnb|"1.1.0"|2011-03-13|5|1
airbnb|"1.1.0"|2011-03-16|5|2
airbnb|"1.1.0"|2011-03-17|5|1
airbnb|"1.1.0"|2011-03-19|5|2
airbnb|"1.1.0"|2011-03-20|1|1
airbnb|"1.1.0"|2011-03-21|2|1
airbnb|"1.1.0"|2011-03-21|5|1
airbnb|"1.1.0"|2011-03-23|5|1
airbnb|"1.1.0"|2011-03-26|5|2
airbnb|"1.1.1"|2011-03-26|2|1
airbnb|"1.1.1"|2011-03-27|5|2
airbnb|"1.1.1"|2011-03-28|5|1
airbnb|"1.1.1"|2011-03-29|5|1
airbnb|"1.1.1"|2011-03-30|5|1
airbnb|"1.1.1"|2011-03-31|1|1
airbnb|"1.1.1"|2011-03-31|5|1
airbnb|"1.1.1"|2011-04-01|2|1
airbnb|"1.1.1"|2011-04-01|4|1
airbnb|"1.1.1"|2011-04-01|5|1
airbnb|"1.1.1"|2011-04-03|1|1
airbnb|"1.1.1"|2011-04-05|1|1
airbnb|"1.1.1"|2011-04-05|4|1
airbnb|"1.1.1"|2011-04-05|5|1
airbnb|"1.1.1"|2011-04-07|5|1
airbnb|"1.1.1"|2011-04-08|4|1
airbnb|"1.1.1"|2011-04-10|5|1
airbnb|"1.1.1"|2011-04-12|4|1
airbnb|"1.1.1"|2011-04-12|5|1
airbnb|"1.1.1"|2011-04-13|5|1
airbnb|"1.1.1"|2011-04-14|1|1
airbnb|"1.1.1"|2011-04-16|5|1
airbnb|"1.1.1"|2011-04-17|5|2
airbnb|"1.1.1"|2011-04-19|5|1
airbnb|"1.1.1"|2011-04-20|5|2
airbnb|"1.1.1"|2011-04-21|5|1
airbnb|"1.1.1"|2011-04-22|5|3
airbnb|"1.1.0"|2011-04-23|5|1
airbnb|"1.1.1"|2011-04-24|5|1
airbnb|"1.1.1"|2011-04-25|5|1
airbnb|"1.1.1"|2011-04-27|5|1
airbnb|"1.1.1"|2011-04-28|5|1
airbnb|"1.1.1"|2011-04-29|5|1
airbnb|"1.1.1"|2011-04-30|4|1
airbnb|"1.1.1"|2011-04-30|5|1
airbnb|"1.1.1"|2011-05-06|5|1
airbnb|"1.1.0"|2011-05-07|5|1
airbnb|"1.1.1"|2011-05-07|5|1
airbnb|"1.1.1"|2011-05-09|5|1
airbnb|"1.1.1"|2011-05-10|5|1
airbnb|"1.1.1"|2011-05-13|5|2
airbnb|"1.0.1"|2011-05-14|5|1
airbnb|"1.1.1"|2011-05-15|5|1
airbnb|"1.1.1"|2011-05-18|3|1
airbnb|"1.1.1"|2011-05-19|5|2
airbnb|"1.1.1"|2011-05-20|5|1
airbnb|"1.1.1"|2011-05-21|5|1
airbnb|"1.1.1"|2011-05-22|5|1
airbnb|"1.1.1"|2011-05-23|5|4
airbnb|"1.1.1"|2011-05-24|5|1
airbnb|"1.1.1"|2011-05-26|5|1
airbnb|"1.1.1"|2011-05-27|5|5
airbnb|"1.1.1"|2011-05-28|4|1
airbnb|"1.1.1"|2011-05-30|4|1
airbnb|"1.1.1"|2011-05-30|5|1
airbnb|"1.1.1"|2011-05-31|5|1
airbnb|"1.1.1"|2011-06-01|5|2
airbnb|"1.1.1"|2011-06-02|5|1
airbnb|"1.1.1"|2011-06-03|4|1
airbnb|"1.1.1"|2011-06-05|4|1
airbnb|"1.1.1"|2011-06-05|5|2
airbnb|"1.1.1"|2011-06-06|5|1
airbnb|"1.1.1"|2011-06-07|5|4
airbnb|"1.1.1"|2011-06-08|5|1
airbnb|"1.1.1"|2011-06-09|5|2
airbnb|"1.1.1"|2011-06-11|4|1
airbnb|"1.1.1"|2011-06-11|5|2
airbnb|"1.1.1"|2011-06-12|5|2
airbnb|"1.1.0"|2011-06-14|5|1
airbnb|"1.1.1"|2011-06-15|2|1
airbnb|"1.1.1"|2011-06-15|5|1
airbnb|"1.1.1"|2011-06-16|5|1
airbnb|"1.1.2"|2011-06-17|5|1
airbnb|"1.1.1"|2011-06-17|5|2
airbnb|"1.1.1"|2011-06-18|5|1
airbnb|"1.1.2"|2011-06-20|4|1
airbnb|"1.1.2"|2011-06-21|5|1
airbnb|"1.1.1"|2011-06-21|5|1
airbnb|"1.1.2"|2011-06-22|5|1
airbnb|"1.1.2"|2011-06-23|5|1
airbnb|"1.1.2"|2011-06-24|4|1
airbnb|"1.1.2"|2011-06-25|5|1
airbnb|"1.1.2"|2011-06-27|5|1
airbnb|"1.1.2"|2011-06-28|3|1
airbnb|"1.1.2"|2011-06-28|5|1
airbnb|"1.1.2"|2011-06-29|4|1
