company|version|date|rating|count
airbnb|"1.0"|5|2010-11-22|2
airbnb|"1.0.1"|2|2010-11-29|1
airbnb|"1.0.1"|3|2010-11-22|1
airbnb|"1.0.1"|3|2010-11-30|1
airbnb|"1.0.1"|4|2010-11-22|1
airbnb|"1.0.1"|4|2010-11-25|2
airbnb|"1.0.1"|4|2010-11-26|1
airbnb|"1.0.1"|4|2010-11-29|1
airbnb|"1.0.1"|5|2010-11-22|2
airbnb|"1.0.1"|5|2010-11-23|2
airbnb|"1.0.1"|5|2010-11-26|1
airbnb|"1.0.1"|5|2010-11-28|1
airbnb|"1.0.1"|5|2010-11-30|1
airbnb|"1.0.1"|5|2010-12-02|2
airbnb|"1.0.1"|5|2010-12-08|1
airbnb|"1.0.2"|1|2010-12-21|1
airbnb|"1.0.2"|1|2010-12-27|1
airbnb|"1.0.2"|5|2010-12-11|1
airbnb|"1.1.0"|1|2011-01-31|1
airbnb|"1.1.0"|1|2011-03-20|1
airbnb|"1.1.0"|2|2011-03-21|1
airbnb|"1.1.0"|3|2010-12-17|1
airbnb|"1.1.0"|3|2011-02-26|1
airbnb|"1.1.0"|3|2011-03-04|1
airbnb|"1.1.0"|3|2011-03-07|1
airbnb|"1.1.0"|4|2011-01-03|1
airbnb|"1.1.0"|4|2011-02-02|1
airbnb|"1.1.0"|4|2011-02-08|1
airbnb|"1.1.0"|4|2011-02-19|1
airbnb|"1.1.0"|4|2011-07-23|1
airbnb|"1.1.0"|5|2011-01-30|1
airbnb|"1.1.0"|5|2011-02-01|1
airbnb|"1.1.0"|5|2011-02-04|1
airbnb|"1.1.0"|5|2011-02-06|3
airbnb|"1.1.0"|5|2011-02-07|1
airbnb|"1.1.0"|5|2011-02-11|1
airbnb|"1.1.0"|5|2011-02-12|1
airbnb|"1.1.0"|5|2011-02-13|1
airbnb|"1.1.0"|5|2011-02-17|1
airbnb|"1.1.0"|5|2011-02-19|2
airbnb|"1.1.0"|5|2011-02-23|1
airbnb|"1.1.0"|5|2011-02-24|1
airbnb|"1.1.0"|5|2011-02-26|2
airbnb|"1.1.0"|5|2011-03-09|1
airbnb|"1.1.0"|5|2011-03-13|1
airbnb|"1.1.0"|5|2011-03-16|2
airbnb|"1.1.0"|5|2011-03-17|1
airbnb|"1.1.0"|5|2011-03-19|2
airbnb|"1.1.0"|5|2011-03-21|1
airbnb|"1.1.0"|5|2011-03-23|1
airbnb|"1.1.0"|5|2011-03-26|2
airbnb|"1.1.0"|5|2011-06-14|1
airbnb|"1.1.1"|1|2011-03-31|1
airbnb|"1.1.1"|1|2011-04-03|1
airbnb|"1.1.1"|1|2011-04-05|1
airbnb|"1.1.1"|1|2011-07-17|1
airbnb|"1.1.1"|2|2011-03-26|1
airbnb|"1.1.1"|2|2011-04-01|1
airbnb|"1.1.1"|2|2011-06-15|1
airbnb|"1.1.1"|4|2011-04-01|1
airbnb|"1.1.1"|4|2011-05-28|1
airbnb|"1.1.1"|4|2011-05-30|1
airbnb|"1.1.1"|4|2011-06-03|1
airbnb|"1.1.1"|4|2011-06-05|1
airbnb|"1.1.1"|4|2011-06-11|1
airbnb|"1.1.1"|4|2011-06-30|1
airbnb|"1.1.1"|5|2011-03-27|2
airbnb|"1.1.1"|5|2011-03-28|1
airbnb|"1.1.1"|5|2011-03-29|1
airbnb|"1.1.1"|5|2011-03-30|1
airbnb|"1.1.1"|5|2011-03-31|1
airbnb|"1.1.1"|5|2011-04-01|1
airbnb|"1.1.1"|5|2011-05-27|3
airbnb|"1.1.1"|5|2011-05-30|1
airbnb|"1.1.1"|5|2011-05-31|1
airbnb|"1.1.1"|5|2011-06-01|2
airbnb|"1.1.1"|5|2011-06-02|1
airbnb|"1.1.1"|5|2011-06-05|2
airbnb|"1.1.1"|5|2011-06-06|1
airbnb|"1.1.1"|5|2011-06-07|4
airbnb|"1.1.1"|5|2011-06-08|1
airbnb|"1.1.1"|5|2011-06-09|2
airbnb|"1.1.1"|5|2011-06-11|2
airbnb|"1.1.1"|5|2011-06-12|2
airbnb|"1.1.1"|5|2011-06-15|1
airbnb|"1.1.1"|5|2011-06-16|1
airbnb|"1.1.1"|5|2011-06-17|2
airbnb|"1.1.1"|5|2011-06-18|1
airbnb|"1.1.1"|5|2011-06-21|1
airbnb|"1.1.1"|5|2011-08-28|1
airbnb|"1.1.1"|5|2011-09-29|1
airbnb|"1.1.2"|3|2011-06-28|1
airbnb|"1.1.2"|4|2011-06-20|1
airbnb|"1.1.2"|4|2011-06-24|1
airbnb|"1.1.2"|4|2011-06-29|1
airbnb|"1.1.2"|4|2011-07-14|1
airbnb|"1.1.2"|4|2011-07-15|1
airbnb|"1.1.2"|4|2011-07-16|1
airbnb|"1.1.2"|4|2011-07-18|1
airbnb|"1.1.2"|4|2011-10-13|1
airbnb|"1.1.2"|4|2011-10-24|1
airbnb|"1.1.2"|5|2011-06-17|1
airbnb|"1.1.2"|5|2011-06-21|1
airbnb|"1.1.2"|5|2011-06-22|1
airbnb|"1.1.2"|5|2011-06-23|1
airbnb|"1.1.2"|5|2011-06-25|1
airbnb|"1.1.2"|5|2011-06-27|1
airbnb|"1.1.2"|5|2011-06-28|1
airbnb|"1.1.2"|5|2011-06-30|1
airbnb|"1.1.2"|5|2011-07-01|2
airbnb|"1.1.2"|5|2011-07-15|2
airbnb|"1.1.2"|5|2011-07-16|1
airbnb|"1.1.2"|5|2011-07-17|1
airbnb|"1.1.2"|5|2011-07-19|1
airbnb|"1.1.2"|5|2011-07-30|1
airbnb|"1.1.2"|5|2011-08-05|1
airbnb|"1.1.2"|5|2011-08-21|1
airbnb|"1.1.2"|5|2011-10-17|1
airbnb|"1.1.2"|5|2011-10-27|1
airbnb|"1.2"|1|2011-07-30|1
airbnb|"1.2"|2|2011-08-07|1
airbnb|"1.2"|3|2011-08-08|1
airbnb|"1.2"|4|2011-07-18|1
airbnb|"1.2"|4|2011-07-20|1
airbnb|"1.2"|4|2011-07-22|2
airbnb|"1.2"|4|2011-07-23|1
airbnb|"1.2"|4|2011-08-02|1
airbnb|"1.2"|4|2011-08-03|2
airbnb|"1.2"|5|2011-07-16|1
airbnb|"1.2"|5|2011-07-17|1
airbnb|"1.2"|5|2011-07-18|1
airbnb|"1.2"|5|2011-07-19|1
airbnb|"1.2"|5|2011-07-20|1
airbnb|"1.2"|5|2011-07-21|2
airbnb|"1.2"|5|2011-07-22|1
airbnb|"1.2"|5|2011-07-23|3
airbnb|"1.2"|5|2011-07-24|2
airbnb|"1.2"|5|2011-07-25|1
airbnb|"1.2"|5|2011-07-26|1
airbnb|"1.2"|5|2011-07-28|1
airbnb|"1.2"|5|2011-07-29|2
airbnb|"1.2"|5|2011-07-30|3
airbnb|"1.2"|5|2011-07-31|1
airbnb|"1.2"|5|2011-08-01|1
